Lipid,Pvalues Endothelial vs Whole Lysate
TG(14:0/16:0/20:4),0.0199457
TG(16:0/18:0/18:0),0.97335116
TG(16:0/18:0/18:1),0.105401179
TG(52:2),0.000841538
TG(52:3),0.0251246
TG(52:4),0.104706277
TG(16:0/16:1/20:4);TG(14:0/18:1/20:4),0.001478432
TG(16:1/18:2/18:2),0.010866786
TG(14:0/18:2/20:4),0.001544923
TG(18:0/18:0/18:0),0.979842933
TG(54:1),0.277099612
TG(54:2),0.010055927
TG(54:3),0.015859302
TG(16:0/18:0/20:4),0.941775294
TG(54:4),0.044472267
TG(18:1/18:2/18:2)_A;TG(16:0/18:1/20:4)_A,0.147111252
TG(16:0/18:2/20:4),0.051484569
TG(54:6),0.013524876
TG(54:7),0.000511985
TG(54:8),4.78E-05
TG(56:3),0.012898879
TG(56:5),0.024411017
TG(18:1/18:1/20:4);TG(18:0/18:2/20:4),0.01763827
TG(18:1/18:2/20:4),0.004137699
TG(16:0/20:4/20:4),0.050954743
TG(56:8);TG(18:2/18:2/20:4),0.000743897
TG(56:9),0.000785555
TG(18:0/18:1/22:4),0.082762662
TG(58:6),0.025536972
TG(58:7),0.08848155
TG(18:1/20:4/20:4)_B;TG(18:2/20:3/20:4) ,0.002520473
TG(58:10),0.024794919
TG(18:2/20:4/20:5),0.001711899
TG(18:0/20:4/22:4),0.01612859
TG(18:1/20:4/22:4),0.122605587
TG(18:1/20:4/22:5);TG(18:2/20:4/22:4),0.003063689
TG(20:4/20:4/20:4),0.000443345
TG(20:4/20:4/20:5),0.000232014
